address,zip,sqft,baths,beds,lat,long,rent
"716 Dexter St #4, Madison, WI 53704",53704,800.0,1.0,2.0,43.108686,-89.353199,1145.0
"2748 Kendall Ave, Madison, WI 53705",53705,1410.0,2.5,3.0,43.071741,-89.435618,2200.0
"123 N Blount St APT 402, Madison, WI 53703",53703,530.0,1.0,1.0,43.081225,-89.378556,1400.0
"9755 Watts Rd, Madison, WI 53593",53593,1500.0,2.5,3.0,43.051805,-89.557497,2000.0
"2847 Endive Dr, Madison, WI 53711",53711,1280.0,2.0,2.0,43.009935,-89.374395,1650.0
"318 Island Dr APT 10, Madison, WI 53705",53705,825.0,1.0,2.0,43.062696,-89.487088,907.0
"101 Westridge Pkwy #131-209, Verona, WI 53593",53593,1058.0,2.0,2.0,42.988473,-89.55241,1225.0
"652 Bear Claw Way #WJ4PZDWHE, Middleton, WI 53562",53562,499.0,1.0,0.0,43.074267,-89.549163,935.0
"5435 Quiet Stone Dr, Fitchburg, WI 53711",53711,2650.0,3.5,4.0,42.997259,-89.418495,2750.0
"20 S Lakewood Gardens Ln, Madison, WI 53704",53704,800.0,1.5,1.0,43.097703,-89.365851,980.0
"5335 Brody Dr UNIT 203, Madison, WI 53705",53705,987.0,1.0,2.0,43.076489,-89.474482,1150.0
"105 Rethke Ave #105, Madison, WI 53714",53714,1100.0,1.5,2.0,43.101232,-89.33571,950.0
"1401 Okeeffe Ave #308, Sun Prairie, WI 53590",53590,500.0,1.0,0.0,43.162554,-89.262103,900.0
"334 1/2 W Wilson St, Madison, WI 53703",53703,1109.0,1.0,4.0,43.070108,-89.385049,1295.0
"2018 Greenway Cros #8, Fitchburg, WI 53713",53713,860.0,1.0,2.0,43.031253,-89.416532,950.0
"5236 Sassafras Dr, Madison, WI 53711",53711,2040.0,2.0,3.0,43.00814,-89.402204,2100.0
"214 S Henry St APT 2, Madison, WI 53703",53703,1100.0,1.0,3.0,43.070636,-89.384846,1875.0
"21 N Franklin St #2, Madison, WI 53703",53703,700.0,1.0,2.0,43.078602,-89.380133,1310.0
"126 S Franklin St APT 2A, Madison, WI 53703",53703,350.0,1.0,0.0,43.076338,-89.377914,795.0
"127-129 S Hancock St #1296, Madison, WI 53703",53703,400.0,1.0,0.0,43.076382,-89.378759,899.0
"135 S Hancock St APT 305, Madison, WI 53703",53703,450.0,1.0,1.0,43.075944,-89.377941,929.0
"311 N Hancock St UNIT 124, Madison, WI 53703",53703,1100.0,2.0,2.0,43.079993,-89.383234,1800.0
"318 North St, Madison, WI 53704",53704,1079.0,2.0,3.0,43.103572,-89.350928,1550.0
"1509 Kenilworth Ct APT 10, Stoughton, WI 53589",53589,975.0,1.0,2.0,42.919238,-89.23845,935.0
"321 Powers Ave, Madison, WI 53714",53714,894.0,1.5,2.0,43.103143,-89.332827,1825.0
"5801 Bjelde Ln #5, Madison, WI 53716",53716,1000.0,1.0,2.0,43.056901,-89.324743,1100.0
"1937 University Ave #2, Madison, WI 53726",53726,825.0,1.0,3.0,43.072815,-89.419303,1495.0
"1129 Elizabeth St APT 2, Madison, WI 53703",53703,1350.0,1.0,2.0,43.088768,-89.372958,1265.0
"522 W Wilson St, Madison, WI 53703",53703,320.0,1.0,0.0,43.067623,-89.38881,670.0
"815 Prospect Pl #2, Madison, WI 53703",53703,1156.0,2.0,2.0,43.084768,-89.379025,1495.0
"120 E Wilson St #B, Madison, WI 53703",53703,568.0,1.0,1.0,43.074065,-89.379704,1900.0
"2405 Monterey Dr APT 1, Madison, WI 53704",53704,750.0,1.0,1.0,43.124741,-89.368073,775.0
"2680 Norwich St, Fitchburg, WI 53711",53711,1380.0,2.0,2.0,43.000136,-89.442262,2000.0
"2334 Allied Dr UNIT 3, Madison, WI 53711",53711,708.0,1.0,2.0,43.02747,-89.460052,885.0
"51 Hart Rd, Sun Prairie, WI 53590",53590,950.0,1.0,2.0,43.179435,-89.241125,925.0
"405 Nichols Rd, Monona, WI 53716",53716,1360.0,1.5,3.0,43.062632,-89.330171,2185.0
"430 W Main St, Madison, WI 53703",53703,1143.0,1.0,2.0,43.070126,-89.388943,1640.0
