contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,39900,"L9 Devil's Doorway Road, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/L9-Devils-Doorway-Road,100458257,43.393081,-89.640154,,L9 Devil's Doorway Road,"Merrimac, WI",2021-01-30,39900,8,32
Yes,,1.0,1.0,894.0,0.0,97000,"N4331 County Road V, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/N4331-County-Road-V,100448673,43.434041,-89.496383,1940.0,N4331 County Road V,"Poynette, WI",2021-01-30,97000,1,1
Yes,,3.0,2.0,1100.0,0.0,199000,"1093 Canyon Road #608, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1093-Canyon-Road/property/6562486,100340234,43.598442,-89.773104,1990.0,1093 Canyon Road #608,"Wisconsin Dells, WI",2021-01-29,199000,4,4
Yes,,2.0,1.0,1400.0,0.0,155000,"646 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/646-10th-Street,100335853,43.476321,-89.731712,1954.0,646 10th Street,"Baraboo, WI",2021-01-29,155000,1,1
Yes,,3.0,3.0,2350.0,0.0,319900,"115 Ridgeline Drive, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/115-Ridgeline-Drive,100423159,43.327704,-89.03301,2007.0,115 Ridgeline Drive,"Columbus, WI",2021-01-29,319900,1,1
No,8.0,,0.0,16000.0,0.0,629000,"1115 W Pleasant Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/1115-W-Pleasant-Street,100487999,43.540585,-89.479721,1992.0,1115 W Pleasant Street,"Portage, WI",2021-01-29,629000,8,128
Yes,,3.0,2.0,1721.0,0.0,259900,"111 Prospect Avenue, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/111-Prospect-Avenue,100313591,43.315277,-89.534471,1988.0,111 Prospect Avenue,"Lodi, WI",2021-01-28,259900,1,1
No,,3.0,2.0,2300.0,0.0,600000,"895 Canyon Road #103, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/895-Canyon-Road/property/600032054583,100471231,43.596492,-89.777425,2008.0,895 Canyon Road #103,"Wisconsin Dells, WI",2021-01-28,600000,4,4
No,,,0.0,,0.0,75000,"117 E Cook Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/117-E-Cook-Street,100306543,43.540449,-89.459068,1910.0,117 E Cook Street,"Portage, WI",2021-01-28,75000,8,128
Yes,,2.0,2.0,1487.0,0.0,189900,"313 N Main Street, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/313-N-Main-Street,100460777,43.393117,-89.403142,1979.0,313 N Main Street,"Poynette, WI",2021-01-28,189900,1,1
No,,,0.0,,0.0,250000,"Lot 0 Center Road, Sumpter, WI",53951,https://www.homesnap.com/WI/Sumpter/Lot-0-Center-Road,100304825,43.370814,-89.771854,,Lot 0 Center Road,"Sumpter, WI",2021-01-28,250000,8,32
No,,4.0,3.0,2360.0,0.0,399000,"2023 Mustang Drive, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/2023-Mustang-Drive,100295935,43.297916,-89.746966,2005.0,2023 Mustang Drive,"Prairie Du Sac, WI",2021-01-27,399000,1,1
No,2.0,,0.0,800.0,0.0,139900,"131 N Main Street, Pardeeville, WI",53954,https://www.homesnap.com/WI/Pardeeville/131-N-Main-Street,100237171,43.537623,-89.300473,1930.0,131 N Main Street,"Pardeeville, WI",2021-01-27,139900,8,128
No,,4.0,3.5,3380.0,0.0,495000,"S3470 Poplar Road, Delton, WI",53913,https://www.homesnap.com/WI/Delton/S3470-Poplar-Road,100351257,43.519768,-89.759416,2021.0,S3470 Poplar Road,"Delton, WI",2021-01-27,495000,1,1
Yes,,3.0,1.5,2621.0,0.0,209900,"220 Highland Avenue, Portage, WI",53901,https://www.homesnap.com/WI/Portage/220-Highland-Avenue,100057190,43.547769,-89.483766,1955.0,220 Highland Avenue,"Portage, WI",2021-01-26,209900,1,1
