contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
Yes,,2.0,1.0,1008.0,0.0,199900,"340 7th Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/340-7th-Street,99778100,43.288202,-89.726636,1956.0,340 7th Street,"Prairie Du Sac, WI",2021-01-22,199900,1,1
Yes,,3.0,1.5,1212.0,0.0,159900,"436 Lavalle Street, Reedsburg, WI",53959,https://www.homesnap.com/WI/Reedsburg/436-Lavalle-Street,99729221,43.534954,-90.019606,1915.0,436 Lavalle Street,"Reedsburg, WI",2021-01-22,159900,1,1
No,1.0,,0.0,,0.0,92500,"225 S Oak Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/225-S-Oak-Street,99850453,43.182801,-90.197678,,225 S Oak Street,"Lone Rock, WI",2021-01-22,92500,8,128
Yes,,5.0,2.0,2002.0,0.0,204900,"S4902 County Road Pf, North Freedom, WI",53951,https://www.homesnap.com/WI/North-Freedom/S4902-County-Road-Pf,99775318,43.467365,-89.845779,1911.0,S4902 County Road Pf,"North Freedom, WI",2021-01-22,204900,1,1
No,,,0.0,,0.0,39900,"288 Dogwood Lane, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/288-Dogwood-Lane,99786755,43.60884,-89.813028,,288 Dogwood Lane,"Wisconsin Dells, WI",2021-01-22,39900,8,32
No,,6.0,1.0,1602.0,0.0,510000,"S1205 County Road Y, Woodland, WI",53968,https://www.homesnap.com/WI/Woodland/S1205-County-Road-Y,99842343,43.616676,-90.275404,1914.0,S1205 County Road Y,"Woodland, WI",2021-01-22,510000,8,32
No,,,0.0,,0.0,10000,"0 E Richland Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/0-E-Richland-Street,99985545,43.183199,-90.195246,,0 E Richland Street,"Lone Rock, WI",2021-01-22,10000,8,32
Yes,,3.0,1.5,1948.0,0.0,289900,"785 Center Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/785-Center-Street,99671059,43.286957,-89.72818,1970.0,785 Center Street,"Prairie Du Sac, WI",2021-01-21,289900,1,1
No,,3.0,2.0,2212.0,0.0,419000,"650 E Hiawatha Drive #309, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/650-E-Hiawatha-Drive/property/17887386,99685065,43.599868,-89.782725,2006.0,650 E Hiawatha Drive #309,"Wisconsin Dells, WI",2021-01-21,419000,4,4
No,,2.0,2.0,1152.0,0.0,105000,"33B Grand Canyon Drive #211, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/33B-Grand-Canyon-Drive/property/13693105,99780975,43.583513,-89.766491,2001.0,33B Grand Canyon Drive #211,"Baraboo, WI",2021-01-21,105000,4,4
