address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"6129 Driscoll Drive, Madison, WI",53718,1,274900,NA,1982.083333,1593.196186,3,1520,2019,2.5,17089,13622,-25487,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,14.37885273,11.55770444
"1826 Pipers Brook Drive, Madison, WI",53718,1,309900,NA,1820,1607.108351,3,1482,2019,2,19265,14847,-28503,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,16.0692339,14.18956044
"5229 Bauer Drive, Madison, WI",53718,1,269900,NA,1881.666667,1686.517101,3,1724,2000,2,16778,13446,-25056,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,13.33616283,11.9530558
"627 Malvern Hill Drive, Madison, WI",53718,1,289900,NA,1996.666667,2486.632366,3,2393,2002,3,18021,14147,-26779,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,9.715281465,12.09933222
"4232 Sprecher Road, Madison, WI",53718,1,499000,NA,2589.444444,3750.702178,4,3598,2000,3.5,31020,21465,-44796,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.08681291,16.05878567
"6218 Seven Pines Avenue, Madison, WI",53718,1,359900,NA,2662.222222,2527.158343,4,2432,2002,2.5,22373,16596,-32811,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.86774337,11.26565109
"3772 Sunhill Drive, Madison, WI",53718,1,299900,NA,2532.777778,2382.862888,4,2458,1976,3,18643,14497,-27641,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,10.48808422,9.86729546
"6207 Driscoll Drive, Madison, WI",53718,1,384900,NA,1982.083333,1929.654065,3,1841,2019,2,23927,17472,-34965,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,16.62215035,16.18246794
"6 Katherine Court, Madison, WI",53718,1,257900,NA,2662.222222,2286.080738,4,2200,2006,2.5,16032,13026,-24022,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,9.401096958,8.072829716
"718 Herndon Drive #A, Madison, WI",53718,1,229900,NA,1331.111111,1838.216739,2,1769,2002,2,14291,12046,-21609,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,10.42223854,14.3927379
"6161 Dell Drive #3, Madison, WI",53718,1,187900,NA,1942.083333,1739.833778,3,1669,1996,2.5,11681,10576,-17991,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,8.999901903,8.062647501
"5910 Gemini Drive, Madison, WI",53718,1,255000,NA,1942.083333,1945.194626,3,1866,2005,2.5,15852,12925,-23772,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,10.92435673,10.94185797
"3730 Bull Run, Madison, WI",53718,1,379900,NA,2532.777778,3533.578205,4,3645,1992,2.5,23616,17296,-34534,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,8.959284753,12.49945163
"6402 Milwaukee Street #306, Madison, WI",53718,1,135000,NA,673.6111111,977.8284835,1,900,2004,1,8392,8725,-13432,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,11.50508519,16.70103093
"5856 Pond Road, Madison, WI",53718,1,294900,NA,1943.333333,2055.304148,3,2132,1976,2,18332,14322,-27210,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,11.95686781,12.6457976
"6810 Littlemore Drive #7, Madison, WI",53718,1,269900,NA,1996.666667,1552.456646,3,1494,2015,2,16778,13446,-25056,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,14.48779051,11.26460768
"5208 Aspen Way #1-4, Madison, WI",53718,1,219900,NA,1881.666667,1868.473122,3,1910,2000,2,13670,11696,-20748,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,9.807473163,9.73870682
"120 Alton Drive, Madison, WI",53718,1,255000,NA,1982.083333,1558.607059,3,1487,2017,2.5,15852,12925,-23772,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.63396879,10.72104267
"3224 Stonecreek Drive, Madison, WI",53719,1,224900,NA,1694.375,1764.054651,3,1762,1998,2.5,13981,11872,-21179,1.2,0.7,4.5,4.2,82.4,3.8,6.3,4.4,33.4,inf,10.62419844,11.06110906
"2826 Cimarron Trail #B, Madison, WI",53719,1,159900,NA,1153.166667,1266.659703,2,1280,1994,2,9940,9596,-15578,3.6,4.5,8.9,1.3,77.3,7.9,5.8,4.9,32,inf,10.51979468,11.55513803
"4005 Ambleside Drive, Madison, WI",53719,1,329900,NA,2923.333333,2317.500739,4,2271,2003,3,20508,15547,-30226,1.2,0.7,4.5,4.2,82.4,3.8,6.3,4.4,33.4,inf,11.86263556,9.404218928
"3802 Country Grove Drive, Madison, WI",53719,1,350000,NA,1819.375,1945.443093,3,1911,1996,2.5,21757,16250,-31957,1.2,0.7,4.5,4.2,82.4,3.8,6.3,4.4,33.4,inf,14.99230009,16.03114623
"1722 Legacy Lane, Madison, WI",53719,1,495000,NA,2463.055556,2391.072174,4,2470,2019,3,30771,21325,-44451,5.8,2.7,8.4,2.4,61.1,8.1,8.7,8.9,33.4,inf,17.25167498,16.7474907
"6234 Sandsnes Lane, Madison, WI",53719,1,275000,NA,2067.5,1842.643346,3,1836,1997,2,17095,13625,-25495,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,12.43684336,11.08424023
"7721 Lois Lowry Lane, Madison, WI",53719,1,279900,NA,1285,1909.30243,2,1728,2016,2,17400,13797,-25918,5.8,2.7,8.4,2.4,61.1,8.1,8.7,8.9,33.4,inf,12.2165036,18.15175097
"9 Country Glen Circle, Madison, WI",53719,1,329900,NA,2192.5,2010.337497,3,1970,2004,2.5,20508,15547,-30226,1.2,0.7,4.5,4.2,82.4,3.8,6.3,4.4,33.4,inf,13.67514992,12.53895857
"7335 Arctic Fox Drive, Madison, WI",53719,1,415000,NA,2971.666667,3025.481667,4,2928,2004,3.5,25798,18525,-37558,1.2,0.7,4.5,4.2,82.4,3.8,6.3,4.4,33.4,inf,11.43068679,11.63768929
"1706 Dewberry Drive, Madison, WI",53719,1,410000,NA,2064.791667,2185.627732,3,2200,2004,2.5,25487,18350,-37127,5.8,2.7,8.4,2.4,61.1,8.1,8.7,8.9,33.4,inf,15.63242732,16.54727071
"124 Juneberry Drive, Madison, WI",53718,1,259900,NA,2020.833333,1777.474888,3,1636,2016,2.5,16156,13096,-24194,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,12.18488851,10.71752577
"4710 Dustin Lane, Madison, WI",53718,1,315000,NA,2342,2935.021545,4,2658,2005,3.5,19582,15025,-28942,4.3,5.7,11,9.7,89.1,6.4,16.3,0,33.6,inf,8.943716288,11.20836892
"104 N Star Drive, Madison, WI",53718,1,249900,NA,1942.083333,1549.067103,3,1486,2019,2.5,15535,12746,-23333,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.44357514,10.72302081
"422 Venus Way, Madison, WI",53718,1,389900,NA,2662.222222,2132.289852,4,2052,2019,2.5,24238,17646,-35396,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,15.23792211,12.20471619
